regime,month,hour,chiller_kwh_h,gas_smc_h,active_chiller_count,chiller_forecast_pred_kwh_h,gas_forecast_pred_smc_h
heating,12,0,458.7041935483871,442.4959677419355,1.7903225806451613,453.9836248797737,442.8541845590175
heating,12,1,455.82854838709676,440.71370967741933,1.6935483870967742,450.0601237186084,442.15266239320374
heating,12,2,475.9885483870968,441.4233870967742,1.7580645161290323,470.1438907919216,442.9036030261415
heating,12,3,478.36790322580646,439.4233870967742,1.8225806451612903,476.0019655592639,439.8331784177753
heating,12,4,465.9753225806452,442.7258064516129,1.7741935483870968,467.3207746770443,442.5487614128643
heating,12,5,459.0443548387097,450.5967741935484,1.7419354838709677,461.57251433297324,450.02663874299736
heating,12,6,466.3651612903226,450.0806451612903,1.8064516129032258,472.9371247749095,449.8365902527198
heating,12,7,469.2514516129032,475.5806451612903,1.7903225806451613,476.377935447736,471.67417711349185
heating,12,8,459.1856451612903,472.33870967741933,1.7258064516129032,466.68114944823134,470.8576238549503
heating,12,9,484.57693548387095,454.98387096774195,1.8387096774193548,491.89510740989726,455.68838958058984
heating,12,10,565.6962903225806,426.1774193548387,2.064516129032258,567.3989735846257,427.9308005465469
heating,12,11,563.8759677419355,405.6290322580645,2.1129032258064515,567.9955399623991,407.4749348763566
heating,12,12,605.6562903225807,401.1774193548387,2.2580645161290325,607.9509124742164,402.5789558328676
heating,12,13,604.2251612903226,387.2096774193548,2.225806451612903,605.895081577904,389.10424736544985
heating,12,14,633.9632258064516,362.30645161290323,2.338709677419355,635.4438961977862,365.2297249554357
heating,12,15,590.3641935483871,372.9624193548387,2.161290322580645,593.8071209407855,371.233951339818
heating,12,16,578.5066129032259,378.8656451612903,2.096774193548387,579.0857085045448,378.07986731138107
heating,12,17,544.4835483870968,402.0108064516129,2.0483870967741935,547.3103752130106,400.0480314540804
heating,12,18,537.0790322580646,416.56451612903226,2.0483870967741935,537.4413480284308,414.08562757240287
heating,12,19,517.9579032258065,427.4193548387097,2.0161290322580645,517.0073717574818,425.4200068913506
heating,12,20,505.4770967741935,430.03225806451616,2.0483870967741935,503.13755994677774,429.8531905618449
heating,12,21,491.55967741935484,442.8306451612903,1.903225806451613,485.1136266275942,441.8200879770701
heating,12,22,460.6537096774194,436.10483870967744,1.8548387096774193,455.69342643300155,438.1821064370029
heating,12,23,491.0245161290323,427.41129032258067,1.8387096774193548,481.009676769527,430.05465289670974
neutral,4,0,576.533,301.7291666666667,2.1166666666666667,567.6379263324737,301.1338132900321
neutral,4,1,547.3033333333333,314.0625,2.1,541.6429204605018,313.6712122766222
neutral,4,2,511.42833333333334,323.5375,1.9,507.4683087310181,322.43663486249466
neutral,4,3,503.46366666666665,330.9815,2.033333333333333,504.4328366551465,330.0591701094369
neutral,4,4,524.7001666666667,339.2911666666667,2.0833333333333335,526.5322402560881,338.05745205412336
neutral,4,5,474.6558333333333,352.3328333333333,1.9,481.21038110277675,350.17724727701074
neutral,4,6,466.649,365.00783333333334,1.8666666666666667,474.2542039489794,362.3929439954538
neutral,4,7,484.727,374.4161666666667,1.9166666666666667,492.27471184814027,371.5711566276158
neutral,4,8,562.8271666666666,355.87033333333335,2.033333333333333,563.6706621179102,355.93415469806337
neutral,4,9,632.066,318.7495,2.2666666666666666,631.86510715966,321.5128216339445
neutral,4,10,695.1098333333334,276.8883333333333,2.533333333333333,694.3279594659466,281.1338362920828
neutral,4,11,804.3776666666666,241.155,2.7,795.487962308343,246.16247995694104
neutral,4,12,826.538,231.42083333333332,2.75,822.1975585419434,234.1135078354725
neutral,4,13,886.221,223.61533333333333,2.8833333333333333,882.5397298193219,225.1039835123931
